Price_Date,States,Commodity,Price
29-Jun-19,Delhi,Mango,2800.00
29-Jun-19,Delhi,Mango,2433.00
28-Jun-19,Delhi,Mango,4583.00
28-Jun-19,Delhi,Mango,3278.00
28-Jun-19,Delhi,Mango,2473.00
28-Jun-19,Delhi,Mango,2800.00
28-Jun-19,Delhi,Mango,2433.00
27-Jun-19,Delhi,Mango,4092.00
27-Jun-19,Delhi,Mango,2427.00
26-Jun-19,Delhi,Mango,4092.00
26-Jun-19,Delhi,Mango,2427.00
25-Jun-19,Delhi,Mango,4092.00
25-Jun-19,Delhi,Mango,2427.00
24-Jun-19,Delhi,Mango,2464.00
22-Jun-19,Delhi,Mango,3766.00
22-Jun-19,Delhi,Mango,2464.00
21-Jun-19,Delhi,Mango,4136.00
21-Jun-19,Delhi,Mango,2345.00
20-Jun-19,Delhi,Mango,4136.00
20-Jun-19,Delhi,Mango,2282.00
19-Jun-19,Delhi,Mango,4136.00
19-Jun-19,Delhi,Mango,2245.00
18-Jun-19,Delhi,Mango,4136.00
18-Jun-19,Delhi,Mango,2245.00
17-Jun-19,Delhi,Mango,4136.00
17-Jun-19,Delhi,Mango,2245.00
15-Jun-19,Delhi,Mango,4136.00
15-Jun-19,Delhi,Mango,2455.00
14-Jun-19,Delhi,Mango,3700.00
14-Jun-19,Delhi,Mango,3700.00
14-Jun-19,Delhi,Mango,1967.00
14-Jun-19,Delhi,Mango,3917.00
13-Jun-19,Delhi,Mango,3700.00
13-Jun-19,Delhi,Mango,3700.00
13-Jun-19,Delhi,Mango,1967.00
13-Jun-19,Delhi,Mango,3917.00
12-Jun-19,Delhi,Mango,3700.00
12-Jun-19,Delhi,Mango,3700.00
12-Jun-19,Delhi,Mango,1967.00
12-Jun-19,Delhi,Mango,3917.00
11-Jun-19,Delhi,Mango,3700.00
11-Jun-19,Delhi,Mango,3700.00
11-Jun-19,Delhi,Mango,1967.00
11-Jun-19,Delhi,Mango,3917.00
10-Jun-19,Delhi,Mango,3612.00
10-Jun-19,Delhi,Mango,3700.00
10-Jun-19,Delhi,Mango,2267.00
10-Jun-19,Delhi,Mango,4360.00
10-Jun-19,Delhi,Mango,3250.00
08-Jun-19,Delhi,Mango,3612.00
08-Jun-19,Delhi,Mango,3700.00
08-Jun-19,Delhi,Mango,2267.00
08-Jun-19,Delhi,Mango,4400.00
08-Jun-19,Delhi,Mango,3250.00
07-Jun-19,Delhi,Mango,3486.00
07-Jun-19,Delhi,Mango,4400.00
07-Jun-19,Delhi,Mango,2267.00
07-Jun-19,Delhi,Mango,4400.00
07-Jun-19,Delhi,Mango,3250.00
06-Jun-19,Delhi,Mango,3486.00
06-Jun-19,Delhi,Mango,4400.00
06-Jun-19,Delhi,Mango,2267.00
06-Jun-19,Delhi,Mango,4400.00
06-Jun-19,Delhi,Mango,3250.00
05-Jun-19,Delhi,Mango,3486.00
05-Jun-19,Delhi,Mango,4400.00
05-Jun-19,Delhi,Mango,2267.00
05-Jun-19,Delhi,Mango,4400.00
05-Jun-19,Delhi,Mango,3250.00
04-Jun-19,Delhi,Mango,3625.00
04-Jun-19,Delhi,Mango,4450.00
04-Jun-19,Delhi,Mango,2267.00
04-Jun-19,Delhi,Mango,4620.00
04-Jun-19,Delhi,Mango,3250.00
03-Jun-19,Delhi,Mango,3520.00
03-Jun-19,Delhi,Mango,4450.00
03-Jun-19,Delhi,Mango,2267.00
03-Jun-19,Delhi,Mango,4620.00
03-Jun-19,Delhi,Mango,3250.00
01-Jun-19,Delhi,Mango,3420.00
01-Jun-19,Delhi,Mango,4450.00
01-Jun-19,Delhi,Mango,4620.00
01-Jun-19,Delhi,Mango,3250.00
31-May-19,Delhi,Mango,3376.00
31-May-19,Delhi,Mango,3667.00
31-May-19,Delhi,Mango,4620.00
31-May-19,Delhi,Mango,3250.00
30-May-19,Delhi,Mango,3686.00
30-May-19,Delhi,Mango,3750.00
30-May-19,Delhi,Mango,2885.00
30-May-19,Delhi,Mango,5150.00
30-May-19,Delhi,Mango,3250.00
29-May-19,Delhi,Mango,3686.00
29-May-19,Delhi,Mango,3550.00
29-May-19,Delhi,Mango,2885.00
29-May-19,Delhi,Mango,4650.00
29-May-19,Delhi,Mango,3250.00
28-May-19,Delhi,Mango,3686.00
28-May-19,Delhi,Mango,3583.00
28-May-19,Delhi,Mango,2644.00
28-May-19,Delhi,Mango,4650.00
28-May-19,Delhi,Mango,3250.00
27-May-19,Delhi,Mango,3548.00
27-May-19,Delhi,Mango,3375.00
27-May-19,Delhi,Mango,2581.00
27-May-19,Delhi,Mango,4600.00
27-May-19,Delhi,Mango,3250.00
25-May-19,Delhi,Mango,3548.00
25-May-19,Delhi,Mango,3375.00
25-May-19,Delhi,Mango,2581.00
25-May-19,Delhi,Mango,4750.00
25-May-19,Delhi,Mango,3250.00
24-May-19,Delhi,Mango,3571.00
24-May-19,Delhi,Mango,3792.00
24-May-19,Delhi,Mango,2615.00
24-May-19,Delhi,Mango,4625.00
24-May-19,Delhi,Mango,3750.00
23-May-19,Delhi,Mango,3708.00
23-May-19,Delhi,Mango,3792.00
23-May-19,Delhi,Mango,2656.00
23-May-19,Delhi,Mango,4250.00
23-May-19,Delhi,Mango,4250.00
22-May-19,Delhi,Mango,3708.00
22-May-19,Delhi,Mango,3792.00
22-May-19,Delhi,Mango,2656.00
22-May-19,Delhi,Mango,4250.00
22-May-19,Delhi,Mango,4250.00
21-May-19,Delhi,Mango,3717.00
21-May-19,Delhi,Mango,3792.00
21-May-19,Delhi,Mango,2656.00
